"Step","stilted-pyramid-12 - cosine_loss","stilted-pyramid-12 - cosine_loss__MIN","stilted-pyramid-12 - cosine_loss__MAX","eager-surf-9 - cosine_loss","eager-surf-9 - cosine_loss__MIN","eager-surf-9 - cosine_loss__MAX","glamorous-glade-8 - cosine_loss","glamorous-glade-8 - cosine_loss__MIN","glamorous-glade-8 - cosine_loss__MAX","robust-snowball-4 - cosine_loss","robust-snowball-4 - cosine_loss__MIN","robust-snowball-4 - cosine_loss__MAX"
"0","0.7299607396125793","0.7299607396125793","0.7299607396125793","0.7358053922653198","0.7358053922653198","0.7358053922653198","0.7493569850921631","0.7493569850921631","0.7493569850921631","0.73448246717453","0.73448246717453","0.73448246717453"
"1","0.7178627252578735","0.7178627252578735","0.7178627252578735","0.7264844179153442","0.7264844179153442","0.7264844179153442","0.7483360767364502","0.7483360767364502","0.7483360767364502","0.73448246717453","0.73448246717453","0.73448246717453"
"2","0.7088923454284668","0.7088923454284668","0.7088923454284668","0.7264844179153442","0.7264844179153442","0.7264844179153442","0.7463193535804749","0.7463193535804749","0.7463193535804749","0.7309819459915161","0.7309819459915161","0.7309819459915161"
"3","0.6995341777801514","0.6995341777801514","0.6995341777801514","0.7245364189147949","0.7245364189147949","0.7245364189147949","0.7463193535804749","0.7463193535804749","0.7463193535804749","0.7281705737113953","0.7281705737113953","0.7281705737113953"
"4","0.6931531429290771","0.6931531429290771","0.6931531429290771","0.7218508720397949","0.7218508720397949","0.7218508720397949","0.7392926812171936","0.7392926812171936","0.7392926812171936","0.7277684807777405","0.7277684807777405","0.7277684807777405"
"5","0.6927099823951721","0.6927099823951721","0.6927099823951721","0.7217880487442017","0.7217880487442017","0.7217880487442017","0.7338830232620239","0.7338830232620239","0.7338830232620239","0.7232306003570557","0.7232306003570557","0.7232306003570557"
"6","0.6907213926315308","0.6907213926315308","0.6907213926315308","0.721616804599762","0.721616804599762","0.721616804599762","0.7329334616661072","0.7329334616661072","0.7329334616661072","0.720165491104126","0.720165491104126","0.720165491104126"
"7","0.6904746294021606","0.6904746294021606","0.6904746294021606","0.7185823917388916","0.7185823917388916","0.7185823917388916","0.7298352718353271","0.7298352718353271","0.7298352718353271","0.720165491104126","0.720165491104126","0.720165491104126"
"8","0.6904746294021606","0.6904746294021606","0.6904746294021606","0.7185823917388916","0.7185823917388916","0.7185823917388916","0.7208853960037231","0.7208853960037231","0.7208853960037231","0.7172605991363525","0.7172605991363525","0.7172605991363525"
"9","0.6904746294021606","0.6904746294021606","0.6904746294021606","0.7185683250427246","0.7185683250427246","0.7185683250427246","0.7118105888366699","0.7118105888366699","0.7118105888366699","0.7136237621307373","0.7136237621307373","0.7136237621307373"
"10","0.6898684501647949","0.6898684501647949","0.6898684501647949","0.7185635566711426","0.7185635566711426","0.7185635566711426","0.7100597620010376","0.7100597620010376","0.7100597620010376","0.7136237621307373","0.7136237621307373","0.7136237621307373"
"11","0.6897467970848083","0.6897467970848083","0.6897467970848083","0.7182900309562683","0.7182900309562683","0.7182900309562683","0.7090749740600586","0.7090749740600586","0.7090749740600586","0.7118405699729919","0.7118405699729919","0.7118405699729919"
"12","0.6886705160140991","0.6886705160140991","0.6886705160140991","0.7182900309562683","0.7182900309562683","0.7182900309562683","0.7090749740600586","0.7090749740600586","0.7090749740600586","0.7117984890937805","0.7117984890937805","0.7117984890937805"
"13","0.6892364621162415","0.6892364621162415","0.6892364621162415","0.7182114720344543","0.7182114720344543","0.7182114720344543","0.7086430191993713","0.7086430191993713","0.7086430191993713","0.7062687873840332","0.7062687873840332","0.7062687873840332"
"14","0.6894384026527405","0.6894384026527405","0.6894384026527405","0.7182114720344543","0.7182114720344543","0.7182114720344543","0.7086430191993713","0.7086430191993713","0.7086430191993713","0.702080488204956","0.702080488204956","0.702080488204956"
"15","0.6864253878593445","0.6864253878593445","0.6864253878593445","0.7180934548377991","0.7180934548377991","0.7180934548377991","0.7073920965194702","0.7073920965194702","0.7073920965194702","0.6975365281105042","0.6975365281105042","0.6975365281105042"
"16","0.6860882639884949","0.6860882639884949","0.6860882639884949","0.7180934548377991","0.7180934548377991","0.7180934548377991","0.7060001492500305","0.7060001492500305","0.7060001492500305","0.6975365281105042","0.6975365281105042","0.6975365281105042"
"17","0.6860491037368774","0.6860491037368774","0.6860491037368774","0.7180894017219543","0.7180894017219543","0.7180894017219543","0.7049909830093384","0.7049909830093384","0.7049909830093384","0.6966841816902161","0.6966841816902161","0.6966841816902161"
"18","0.6860491037368774","0.6860491037368774","0.6860491037368774","0.7180521488189697","0.7180521488189697","0.7180521488189697","0.7049909830093384","0.7049909830093384","0.7049909830093384","0.6966841816902161","0.6966841816902161","0.6966841816902161"
